DiffusionLM: 6L dim=384 heads=6 mlp=3x seq=512 batch=8
Schedule: cosine | ELBO steps: 64 | Muon LR: 0.02
Time budget: 300.0s
  t=0.00: mask_prob=0.0000 sigma_bar=0.0000 dalpha_dt=0.0437
  t=0.25: mask_prob=0.1530 sigma_bar=0.1660 dalpha_dt=1.1225
  t=0.50: mask_prob=0.5062 sigma_bar=0.7055 dalpha_dt=1.5585
  t=0.75: mask_prob=0.8557 sigma_bar=1.9361 dalpha_dt=1.0952
  t=1.00: mask_prob=1.0000 sigma_bar=12.9281 dalpha_dt=0.0049
Parameters: 9,635,968
step 02380 (91.7%) | loss: 18.8217 | gnorm: 3.4803 | dt: 125ms | tok/s: 32,754 | remaining: 25s
step 02400 (92.6%) | loss: 15.6835 | gnorm: 1.6486 | dt: 129ms | tok/s: 31,667 | remaining: 22s
step 02420 (93.4%) | loss: 15.0176 | gnorm: 1.3558 | dt: 133ms | tok/s: 30,710 | remaining: 20s
step 02440 (94.3%) | loss: 14.0161 | gnorm: 1.1125 | dt: 131ms | tok/s: 31,174 | remaining: 17s
step 02460 (95.2%) | loss: 14.1299 | gnorm: 2.0497 | dt: 136ms | tok/s: 30,211 | remaining: 14s
step 02480 (96.1%) | loss: 15.0961 | gnorm: 10.5074 | dt: 140ms | tok/s: 29,308 | remaining: 12s
step 02500 (97.0%) | loss: 12.3337 | gnorm: 2.2405 | dt: 139ms | tok/s: 29,368 | remaining: 9s
step 02520 (97.9%) | loss: 12.1737 | gnorm: 4.8384 | dt: 146ms | tok/s: 27,983 | remaining: 6s
step 02540 (98.9%) | loss: 11.0807 | gnorm: 0.3968 | dt: 143ms | tok/s: 28,705 | remaining: 3s
step 02560 (99.8%) | loss: 13.0740 | gnorm: 1.8505 | dt: 153ms | tok/s: 26,815 | remaining: 0s

--- Per-t diagnostics ---
  t=0.05: mask_prob=0.008, n_masked=21, avg_CE_masked=2.7741
  t=0.10: mask_prob=0.028, n_masked=109, avg_CE_masked=2.1328
  t=0.20: mask_prob=0.101, n_masked=399, avg_CE_masked=2.5191
  t=0.30: mask_prob=0.213, n_masked=888, avg_CE_masked=3.0707
  t=0.50: mask_prob=0.506, n_masked=2078, avg_CE_masked=4.0359
  t=0.70: mask_prob=0.797, n_masked=3248, avg_CE_masked=5.1263
  t=0.90: mask_prob=0.976, n_masked=3999, avg_CE_masked=5.8416

ELBO eval (64 levels x 8 batches)...
  ELBO eval 4/8
  ELBO eval 8/8
---
val_bpb:          2.416977
training_seconds: 300.1
total_seconds:    319.9
num_steps:        2564
num_params_M:     9.6
model_dim:        384
num_layers:       6
noise_schedule:   cosine
elbo_steps:       64
