DiffusionLM: 6L dim=384 heads=6 mlp=3x seq=512 batch=8
Schedule: cosine | ELBO steps: 64 | Muon LR: 0.02
Time budget: 300.0s
  t=0.00: mask_prob=0.0000 sigma_bar=0.0000 dalpha_dt=0.0437
  t=0.25: mask_prob=0.1530 sigma_bar=0.1660 dalpha_dt=1.1225
  t=0.50: mask_prob=0.5062 sigma_bar=0.7055 dalpha_dt=1.5585
  t=0.75: mask_prob=0.8557 sigma_bar=1.9361 dalpha_dt=1.0952
  t=1.00: mask_prob=1.0000 sigma_bar=12.9281 dalpha_dt=0.0049
Parameters: 9,635,200
step 01520 (54.9%) | loss: 4.3521 | gnorm: 0.7720 | dt: 117ms | tok/s: 35,127 | remaining: 135s
step 01540 (55.7%) | loss: 4.4447 | gnorm: 0.7207 | dt: 119ms | tok/s: 34,503 | remaining: 133s
step 01560 (56.4%) | loss: 4.3260 | gnorm: 0.9263 | dt: 115ms | tok/s: 35,688 | remaining: 131s
step 01580 (57.2%) | loss: 4.3690 | gnorm: 0.7485 | dt: 101ms | tok/s: 40,540 | remaining: 128s
step 01600 (57.9%) | loss: 4.4116 | gnorm: 0.7984 | dt: 114ms | tok/s: 35,803 | remaining: 126s
step 01620 (58.6%) | loss: 4.3464 | gnorm: 0.9285 | dt: 101ms | tok/s: 40,392 | remaining: 124s
step 01640 (59.4%) | loss: 4.3692 | gnorm: 0.7048 | dt: 119ms | tok/s: 34,280 | remaining: 122s
step 01660 (60.1%) | loss: 4.3771 | gnorm: 0.7105 | dt: 99ms | tok/s: 41,416 | remaining: 120s
step 01680 (60.8%) | loss: 4.2798 | gnorm: 0.8029 | dt: 96ms | tok/s: 42,532 | remaining: 117s
step 01700 (61.5%) | loss: 4.3058 | gnorm: 0.9292 | dt: 96ms | tok/s: 42,705 | remaining: 115s
step 01720 (62.2%) | loss: 4.5141 | gnorm: 1.1205 | dt: 112ms | tok/s: 36,686 | remaining: 113s
step 01740 (62.9%) | loss: 4.3498 | gnorm: 0.9625 | dt: 115ms | tok/s: 35,742 | remaining: 111s
step 01760 (63.6%) | loss: 4.2776 | gnorm: 0.8904 | dt: 114ms | tok/s: 35,788 | remaining: 109s
step 01780 (64.3%) | loss: 4.3503 | gnorm: 0.8291 | dt: 114ms | tok/s: 35,808 | remaining: 107s
step 01800 (65.0%) | loss: 4.2891 | gnorm: 0.9517 | dt: 116ms | tok/s: 35,358 | remaining: 105s
step 01820 (65.8%) | loss: 4.2316 | gnorm: 0.8789 | dt: 99ms | tok/s: 41,491 | remaining: 102s
